عنوان,نوع معامله,محله,متراژ,سال ساخت,تعداد اتاق,قیمت کل,قیمت هر متر,طبقه,تاریخ انتشار,لینک
فروش آپارتمان دو واحد مجزا,فروش,بازکیاگوراب,۲۲۰,۱۳۹۸,۲,"‏۱۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۴۵,۴۵۴,۰۰۰ تومان",۲ از ۲,۲ شهریور ۱۴۰۵، ۰۶:۲۰,https://divar.ir/v/gaLC710v
فروش زمین ۱۲۷ متری مسکونی_ویو دار_ اینده دار,فروش,لیالستان,,,,"‏۳,۸۰۰,۰۰۰,۰۰۰ تومان","‏۲۹,۹۲۱,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۳۶,https://divar.ir/v/gaR2FKAT
500 متر باغی داخل طرح,فروش,بازکیاگوراب,,,,"‏۱,۷۵۰,۰۰۰,۰۰۰ تومان","‏۳,۵۰۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۳۲,https://divar.ir/v/gaRuViHu
فروش زمین مسکونی با سند تک برگ سوستان,فروش,لیل,,,,"‏۴,۶۰۰,۰۰۰,۰۰۰ تومان","‏۲۶,۵۸۹,۰۰۰ تومان",,۲۴ تیر ۱۴۰۵، ۱۹:۱۳,https://divar.ir/v/gaXpKg_H
مغازه تجاری بر کمربندی با موقعیت عالی,فروش,حاجی آباد,۴۵,۱۳۹۸,بدون اتاق,"‏۱۵,۶۵۰,۰۰۰,۰۰۰ تومان","‏۳۴۷,۷۷۷,۰۰۰ تومان",,۱۴ تیر ۱۴۰۵، ۰۹:۲۴,https://divar.ir/v/gaJFvgAK
ملک کاملِ عرصه و اعیان سرمایه‌گذاری و کاربری تجاری,فروش,حاجی آباد,۲۹۹,۱۳۹۹,۴,"‏۲۷,۵۰۰,۰۰۰,۰۰۰ تومان","‏۹۱,۹۷۳,۰۰۰ تومان",۱ از ۲,۱۳ خرداد ۱۴۰۵، ۰۸:۴۶,https://divar.ir/v/gafgbl_n
زمین باغی مسکونی لاهیجان 4500 متر,فروش,لیالستان,,,,"‏۳۰,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶,۶۶۶,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۲۲,https://divar.ir/v/gaRiFe4-
۴۰۰ متر زمین ویو نقاشی در گیلان,فروش,کوی خزر,,,,"‏۲,۵۰۰,۰۰۰,۰۰۰ تومان","‏۶,۲۵۰,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۳:۱۴,https://divar.ir/v/gaRe1uVY
زمین بالوکیشن خوب مناسب سرمایه گذاری,فروش,آهندان,,,,"‏۲,۴۰۰,۰۰۰,۰۰۰ تومان","‏۲,۱۸۱,۰۰۰ تومان",,۲۴ مرداد ۱۴۰۵، ۱۰:۲۹,https://divar.ir/v/gaA2gznZ
زمین شیخ زاهد معاوضه با مغازه,فروش,شیخ زاهد,,,,"‏۳۵,۰۰۰,۰۰۰,۰۰۰ تومان","‏۶۸۶,۲۷۴,۰۰۰ تومان",,۶ شهریور ۱۴۰۵، ۱۲:۵۶,https://divar.ir/v/gaRSlRYv
